Date,Order_ID,Product,Category,Units_Sold,Unit_Price,Revenue,Estimated_Cost,Gross_Profit,Gross_Margin,Sales_Channel,Inventory_Level
2026-01-05,ORD-0001,LED Bulb A60 15W,Electrical,4,1880,7520,4512,3008,40.0%,Store,46
2026-01-08,ORD-0002,Screwdriver Flat 5.5mm Insulated,Tools,2,9025,18050,10830,7220,40.0%,Store,18
2026-01-14,ORD-0003,Digital Clamp Meter,Electrical Tools,1,16945.23,16945.23,10167.14,6778.09,40.0%,Online,11
2026-01-21,ORD-0004,Torx Key Set 10 pcs,Tools,2,19288.84,38577.68,23146.60,15431.08,40.0%,Store,14
2026-02-03,ORD-0005,Bosch X-Line Drill Bit Set 34 pcs,Tools,1,43053,43053,25831.80,17221.20,40.0%,Online,8
2026-02-07,ORD-0006,Tool Set 32 pcs,Tools,1,106460.25,106460.25,63876.15,42584.10,40.0%,Online,5
2026-02-15,ORD-0007,Manual Riveter RM10,Tools,2,23197,46394,27836.40,18557.60,40.0%,Store,12
2026-02-20,ORD-0008,Aluminum Ladder 4 Steps,Tools,1,62000,62000,37200,24800,40.0%,Store,6
2026-03-02,ORD-0009,Tool Backpack MOCL-8,Tools,1,74150,74150,44490,29660,40.0%,Online,7
2026-03-09,ORD-0010,Cargo Cart Tramontina,Tools,1,116000,116000,69600,46400,40.0%,Store,4
2026-03-16,ORD-0011,Cross Wrench 18 inch,Automotive Tools,2,25805,51610,30966,20644,40.0%,Store,9
2026-03-24,ORD-0012,Crimping Pliers HB-104,Electrical Tools,1,35400,35400,21240,14160,40.0%,Online,10
2026-04-04,ORD-0013,LED Bulb A60 15W,Electrical,8,1880,15040,9024,6016,40.0%,Store,38
2026-04-11,ORD-0014,Screwdriver Phillips PH2 Insulated,Tools,3,10010,30030,18018,12012,40.0%,Store,15
2026-04-18,ORD-0015,Digital Clamp Meter,Electrical Tools,2,16945.23,33890.46,20334.28,13556.18,40.0%,Online,9
2026-04-25,ORD-0016,Torx Key Set 10 pcs,Tools,1,19288.84,19288.84,11573.30,7715.54,40.0%,Store,13
2026-05-03,ORD-0017,Bosch X-Line Drill Bit Set 34 pcs,Tools,2,43053,86106,51663.60,34442.40,40.0%,Online,6
2026-05-10,ORD-0018,Tool Set 32 pcs,Tools,2,106460.25,212920.50,127752.30,85168.20,40.0%,Online,3
2026-05-17,ORD-0019,Manual Riveter RM10,Tools,3,23197,69591,41754.60,27836.40,40.0%,Store,9
2026-05-24,ORD-0020,Aluminum Ladder 4 Steps,Tools,2,62000,124000,74400,49600,40.0%,Store,4
2026-06-02,ORD-0021,LED Bulb A60 15W,Electrical,12,1880,22560,13536,9024,40.0%,Store,26
2026-06-08,ORD-0022,Tool Backpack MOCL-8,Tools,2,74150,148300,88980,59320,40.0%,Online,5
2026-06-15,ORD-0023,Cargo Cart Tramontina,Tools,1,116000,116000,69600,46400,40.0%,Store,3
2026-06-22,ORD-0024,Cross Wrench 18 inch,Automotive Tools,3,25805,77415,46449,30966,40.0%,Store,6
2026-07-04,ORD-0025,LED Bulb A60 15W,Electrical,15,1880,28200,16920,11280,40.0%,Online,18
2026-07-12,ORD-0026,Digital Clamp Meter,Electrical Tools,3,16945.23,50835.69,30501.41,20334.28,40.0%,Online,6
2026-07-19,ORD-0027,Crimping Pliers HB-104,Electrical Tools,2,35400,70800,42480,28320,40.0%,Store,8
2026-07-27,ORD-0028,Screwdriver Flat 4mm Insulated,Tools,4,7400,29600,17760,11840,40.0%,Store,11
2026-08-05,ORD-0029,Bosch X-Line Drill Bit Set 34 pcs,Tools,3,43053,129159,77495.40,51663.60,40.0%,Online,3
2026-08-13,ORD-0030,Tool Set 32 pcs,Tools,1,106460.25,106460.25,63876.15,42584.10,40.0%,Online,2
2026-08-21,ORD-0031,LED Bulb A60 15W,Electrical,18,1880,33840,20304,13536,40.0%,Store,8
2026-08-29,ORD-0032,Manual Riveter RM10,Tools,4,23197,92788,55672.80,37115.20,40.0%,Store,5
2026-09-03,ORD-0033,Aluminum Ladder 4 Steps,Tools,1,62000,62000,37200,24800,40.0%,Store,3
2026-09-06,ORD-0034,Tool Backpack MOCL-8,Tools,2,74150,148300,88980,59320,40.0%,Online,3
2026-09-09,ORD-0035,Cargo Cart Tramontina,Tools,1,116000,116000,69600,46400,40.0%,Store,2
2026-09-12,ORD-0036,Cross Wrench 18 inch,Automotive Tools,4,25805,103220,61932,41288,40.0%,Store,4
